ID,Form,Lemma,Postag,NER,Head,Deprel,Clausal Tag,Record ID,Sentence ID,Document ID,Document
1,Gentlemen,gentleman,NNS,O,0,ROOT,NP,1,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
2,of,of,IN,O,4,case,0,2,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
3,the,the,DT,O,4,det,NP,3,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
4,Congress,Congress,NNP,ORGANIZATION,1,nmod:of,0,4,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
5,:,:,:,O,1,punct,0,5,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
6,In,in,IN,O,7,case,S,6,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
7,pursuance,pursuance,NN,O,28,obl:in,NP,7,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
8,of,of,IN,O,11,case,0,8,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
9,my,my,PRP$,O,11,nmod:poss,NP,9,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
10,constitutional,constitutional,JJ,O,11,amod,0,10,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
11,duty,duty,NN,O,7,nmod:of,0,11,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
12,to,to,TO,O,14,mark,VP,12,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
13,"""","""",``,O,14,punct,0,13,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
14,give,give,VB,O,11,acl:to,VP,14,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
15,to,to,IN,O,18,case,0,15,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
16,the,the,DT,O,18,det,NP,16,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
17,Congress,Congress,NNP,ORGANIZATION,18,compound,0,17,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
18,information,information,NN,O,14,obl:to,0,18,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
19,of,of,IN,O,21,case,0,19,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
20,the,the,DT,O,21,det,NP,20,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
21,state,state,NN,O,18,nmod:of,0,21,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
22,of,of,IN,O,24,case,0,22,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
23,the,the,DT,O,24,det,NP,23,1,1,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1913 .txt"")"
